# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* FNHOILDI_00353      K03438  118.37  382.8  3.1e-115 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
* FNHOILDI_00354      K01873  589.77  780.9  2.1e-235 valyl-tRNA synthetase [EC:6.1.1.9]
* FNHOILDI_00362      K02899   49.63  105.9   2.7e-31 large subunit ribosomal protein L27
* FNHOILDI_00363      K02967  138.30  258.6   8.8e-78 small subunit ribosomal protein S2
* FNHOILDI_00375      K07171   19.37   91.5   6.8e-27 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00378      K18682  118.43  478.5  2.7e-144 ribonucrease Y [EC:3.1.-.-]
* FNHOILDI_00380      K02946   65.63   80.9     1e-23 small subunit ribosomal protein S10
* FNHOILDI_00389      K02956   32.03   63.2   3.3e-18 small subunit ribosomal protein S15
* FNHOILDI_00390      K02968   35.03   69.2   4.7e-20 small subunit ribosomal protein S20
* FNHOILDI_00398      K07334   76.87   89.8   1.9e-26 toxin HigB-1
* FNHOILDI_00399      K21498   47.93  100.1   1.3e-29 antitoxin HigA-1
* FNHOILDI_00421      K03496  128.07  213.1     1e-63 chromosome partitioning protein
* FNHOILDI_00423      K07341   34.03   41.2     2e-11 death on curing protein
* FNHOILDI_00426      K09760   96.00  137.5   6.9e-41 DNA recombination protein RmuC
* FNHOILDI_00444      K07171   19.37   72.2   5.5e-21 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00448      K03496  128.07  202.1   2.2e-60 chromosome partitioning protein
* FNHOILDI_00490      K03979  160.43  452.1  3.4e-136 GTPase [EC:3.6.5.-]
* FNHOILDI_00491      K03070  152.83  708.4  1.7e-213 preprotein translocase subunit SecA [EC:7.4.2.8]
* FNHOILDI_00493      K02835  355.80  438.4  6.2e-132 peptide chain release factor 1
* FNHOILDI_00498      K00571  148.63  188.0   3.7e-56 site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
* FNHOILDI_00499      K07171   19.37   80.8   1.3e-23 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00508      K07334   76.87   96.6   1.6e-28 toxin HigB-1
* FNHOILDI_00509      K21498   47.93   98.1   5.6e-29 antitoxin HigA-1
* FNHOILDI_00520      K21498   47.93   91.1   8.1e-27 antitoxin HigA-1
* FNHOILDI_00531      K02838   26.67   98.3   4.6e-29 ribosome recycling factor
* FNHOILDI_00535      K02863   98.10  167.1   7.5e-50 large subunit ribosomal protein L1
* FNHOILDI_00539      K02996  107.43  164.3   4.6e-49 small subunit ribosomal protein S9
* FNHOILDI_00540      K03424   88.03  271.9   1.1e-81 TatD DNase family protein [EC:3.1.21.-]
* FNHOILDI_00541      K06223   68.57  263.3   5.1e-79 DNA adenine methylase [EC:2.1.1.72]
* FNHOILDI_00541      K01155   25.73   78.1   1.4e-22 type II restriction enzyme [EC:3.1.21.4]
* FNHOILDI_00542      K01866   93.67  231.9   1.6e-69 tyrosyl-tRNA synthetase [EC:6.1.1.1]
* FNHOILDI_00550      K02909   22.33   70.8   8.9e-21 large subunit ribosomal protein L31
* FNHOILDI_00551      K02358  348.87  752.9  6.6e-227 elongation factor Tu
* FNHOILDI_00554      K03763  228.33  961.9  6.7e-290 DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]
* FNHOILDI_00554      K02342  108.03  117.2   8.5e-35 DNA polymerase III subunit epsilon [EC:2.7.7.7]
* FNHOILDI_00556      K07488   43.87   87.3   1.3e-25 transposase
* FNHOILDI_00564      K15255   91.03  335.1  8.1e-101 ATP-dependent DNA helicase PIF1 [EC:3.6.4.12]
* FNHOILDI_00580      K03168  435.60  499.9    2e-150 DNA topoisomerase I [EC:5.6.2.1]
* FNHOILDI_00584      K07171   19.37   92.1   4.5e-27 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00588      K01972  100.33  619.2  1.5e-186 DNA ligase (NAD+) [EC:6.5.1.2]
* FNHOILDI_00589      K03652   51.33  219.4   8.8e-66 DNA-3-methyladenine glycosylase [EC:3.2.2.21]
* FNHOILDI_00590      K02864   56.00   85.6   5.3e-25 large subunit ribosomal protein L10
* FNHOILDI_00596      K06934   32.83   61.0   1.1e-17 uncharacterized protein
* FNHOILDI_00597      K01409   84.10  403.6  2.2e-121 N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]
* FNHOILDI_00599      K07584   35.60   71.7   8.1e-21 uncharacterized protein
* FNHOILDI_00607      K01885  303.63  496.5  1.7e-149 glutamyl-tRNA synthetase [EC:6.1.1.17]
* FNHOILDI_00609      K01867  137.37  294.5   1.7e-88 tryptophanyl-tRNA synthetase [EC:6.1.1.2]
* FNHOILDI_00611      K01890  121.63  254.0   3.6e-76 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
* FNHOILDI_00613      K01890  121.63  283.0   6.1e-85 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
* FNHOILDI_00615      K12574  172.07  586.8    9e-177 ribonuclease J [EC:3.1.-.-]
* FNHOILDI_00616      K02871   70.00  152.4   1.7e-45 large subunit ribosomal protein L13
* FNHOILDI_00618      K03664   28.77  130.2   9.7e-39 SsrA-binding protein
* FNHOILDI_00620      K02911   21.47   39.3   7.1e-11 large subunit ribosomal protein L32
* FNHOILDI_00623      K03702  143.73  965.8  4.8e-291 excinuclease ABC subunit B
* FNHOILDI_00625      K03427   97.00  100.6   1.1e-29 type I restriction enzyme M protein [EC:2.1.1.72]
* FNHOILDI_00626      K06925   47.07  111.6   5.3e-33 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
* FNHOILDI_00628      K00566  428.00  486.1  8.7e-147 tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]
* FNHOILDI_00674      K09760   96.00  160.3   8.2e-48 DNA recombination protein RmuC
* FNHOILDI_00684      K07171   19.37   59.1   5.4e-17 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00707      K07334   76.87   95.0   4.8e-28 toxin HigB-1
* FNHOILDI_00708      K21498   47.93   81.5   6.9e-24 antitoxin HigA-1
* FNHOILDI_00718      K07171   19.37   91.1   8.9e-27 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00724      K18626   84.83   93.2   1.1e-27 trichohyalin
* FNHOILDI_00733      K15255   91.03  356.2  3.6e-107 ATP-dependent DNA helicase PIF1 [EC:3.6.4.12]
* FNHOILDI_00743      K07171   19.37   78.9   4.8e-23 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00747      K07316  209.03  282.3   9.8e-85 adenine-specific DNA-methyltransferase [EC:2.1.1.72]
* FNHOILDI_00750      K07171   19.37   64.3   1.4e-18 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00754      K07494   74.50   87.1   1.8e-25 putative transposase
* FNHOILDI_00761      K07171   19.37   76.0   3.9e-22 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00763      K06218   35.80   47.9   2.9e-13 mRNA interferase RelE/StbE
* FNHOILDI_00765      K01156  140.97  315.7   9.1e-95 type III restriction enzyme [EC:3.1.21.5]
* FNHOILDI_00769      K06934   32.83   57.8     1e-16 uncharacterized protein
* FNHOILDI_00777      K00940  131.40  247.3   3.4e-74 nucleoside-diphosphate kinase [EC:2.7.4.6]
* FNHOILDI_00789      K07171   19.37   74.7   9.1e-22 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00790      K09951   23.40   40.7   1.9e-11 CRISPR-associated protein Cas2
* FNHOILDI_00791      K15342   81.73  132.0   3.1e-39 CRISP-associated protein Cas1
* FNHOILDI_00797      K09952  118.17  395.5  7.7e-119 CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]
* FNHOILDI_00801      K00571  148.63  168.0   4.5e-50 site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
* FNHOILDI_00802      K03657  379.80  509.3  2.9e-153 DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
* FNHOILDI_00806      K06218   35.80   65.5   1.1e-18 mRNA interferase RelE/StbE
* FNHOILDI_00825      K07171   19.37   83.6   1.8e-24 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00895      K07334   76.87  109.7   1.6e-32 toxin HigB-1
* FNHOILDI_00896      K21498   47.93  104.5   5.6e-31 antitoxin HigA-1
* FNHOILDI_00899      K00525  363.03  583.0  9.1e-176 ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
* FNHOILDI_00902      K03424   88.03  288.8   7.7e-87 TatD DNase family protein [EC:3.1.21.-]
* FNHOILDI_00908      K03164  252.80  266.1   5.4e-80 DNA topoisomerase II [EC:5.6.2.2]
* FNHOILDI_00919      K07171   19.37   92.9   2.6e-27 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00944      K07494   74.50  103.0   2.5e-30 putative transposase
* FNHOILDI_00951      K01872  198.30  390.9  1.6e-117 alanyl-tRNA synthetase [EC:6.1.1.7]
* FNHOILDI_00953      K04043  830.13  850.9  1.1e-256 molecular chaperone DnaK
* FNHOILDI_00954      K03687   30.90  135.4   2.8e-40 molecular chaperone GrpE
* FNHOILDI_00961      K07171   19.37   90.8   1.1e-26 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00976      K07171   19.37   84.8   7.4e-25 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00982      K07171   19.37   70.5   1.8e-20 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00996      K03495  121.13  823.6  2.1e-248 tRNA uridine 5-carboxymethylaminomethyl modification enzyme
* FNHOILDI_00998      K07171   19.37   93.8   1.4e-27 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_01012      K07334   76.87   88.8   3.9e-26 toxin HigB-1
* FNHOILDI_01013      K21498   47.93  108.3     4e-32 antitoxin HigA-1
* FNHOILDI_01014      K02835  355.80  427.8    1e-128 peptide chain release factor 1
* FNHOILDI_01066      K01156  140.97  261.6   2.1e-78 type III restriction enzyme [EC:3.1.21.5]
* FNHOILDI_01067      K07316  209.03  317.3   2.5e-95 adenine-specific DNA-methyltransferase [EC:2.1.1.72]
* FNHOILDI_01070      K02887   55.13  157.2     6e-47 large subunit ribosomal protein L20
* FNHOILDI_01077      K02357  118.20  191.6   2.7e-57 elongation factor Ts
* FNHOILDI_01085      K07494   74.50   84.2   1.3e-24 putative transposase
* FNHOILDI_01088      K07171   19.37   59.9   3.2e-17 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_01124      K00558  160.57  287.6   1.2e-86 DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
* FNHOILDI_01127      K07171   19.37   44.5   1.6e-12 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_01139      K02879   35.07   94.7   8.9e-28 large subunit ribosomal protein L17
* FNHOILDI_01140      K03040  130.30  148.8   2.1e-44 DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
* FNHOILDI_01141      K02948   97.70  113.3   1.7e-33 small subunit ribosomal protein S11
* FNHOILDI_01144      K07488   43.87   78.0   9.3e-23 transposase
* FNHOILDI_01151      K02952  115.63  122.5   1.7e-36 small subunit ribosomal protein S13
* FNHOILDI_01152      K02919   27.60   58.6   1.1e-16 large subunit ribosomal protein L36
* FNHOILDI_01153      K02518   47.27   56.0   4.2e-16 translation initiation factor IF-1
* FNHOILDI_01154      K01265  125.50  246.8   6.7e-74 methionyl aminopeptidase [EC:3.4.11.18]
* FNHOILDI_01156      K06999  106.67  111.4   5.5e-33 phospholipase/carboxylesterase
* FNHOILDI_01158      K02355  515.13  972.1  4.1e-293 elongation factor G
* FNHOILDI_01159      K02992  105.13  154.8   2.6e-46 small subunit ribosomal protein S7
* FNHOILDI_01160      K02950   85.93  194.0   5.3e-58 small subunit ribosomal protein S12
* FNHOILDI_01161      K10563  195.93  263.3   4.3e-79 formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]
* FNHOILDI_01166      K02965  108.47  109.9   2.1e-32 small subunit ribosomal protein S19
* FNHOILDI_01167      K02992  105.13  154.7   2.8e-46 small subunit ribosomal protein S7
* FNHOILDI_01168      K02950   85.93  156.3   1.7e-46 small subunit ribosomal protein S12
* FNHOILDI_01171      K02913   23.47   31.1   2.6e-08 large subunit ribosomal protein L33
* FNHOILDI_01172      K02887   55.13  142.8   1.4e-42 large subunit ribosomal protein L20
* FNHOILDI_01173      K01893  376.90  623.0  7.8e-188 asparaginyl-tRNA synthetase [EC:6.1.1.22]
* FNHOILDI_01175      K07171   19.37  100.9   9.5e-30 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_01177      K08602  124.97  508.8  3.1e-153 oligoendopeptidase F [EC:3.4.24.-]
* FNHOILDI_01183      K01876  291.87  339.8  4.3e-102 aspartyl-tRNA synthetase [EC:6.1.1.12]
* FNHOILDI_01187      K00558  160.57  179.0   1.1e-53 DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
* FNHOILDI_01195      K00600   55.33  575.6  1.6e-173 glycine hydroxymethyltransferase [EC:2.1.2.1]
* FNHOILDI_01196      K00287   53.23  158.5   2.6e-47 dihydrofolate reductase [EC:1.5.1.3]
* FNHOILDI_01198      K00560   77.53  416.6  1.1e-125 thymidylate synthase [EC:2.1.1.45]
* FNHOILDI_01202      K02954   24.90   41.1   1.9e-11 small subunit ribosomal protein S14
* FNHOILDI_01205      K02994   89.83  126.4   1.3e-37 small subunit ribosomal protein S8
* FNHOILDI_01206      K02933  112.43  148.9   2.4e-44 large subunit ribosomal protein L6
* FNHOILDI_01207      K02881   60.30   84.2   1.2e-24 large subunit ribosomal protein L18
* FNHOILDI_01209      K02876   42.03  140.5   9.1e-42 large subunit ribosomal protein L15
* FNHOILDI_01211      K02355  515.13  950.9  1.1e-286 elongation factor G
* FNHOILDI_01213      K02886  162.97  336.1    4e-101 large subunit ribosomal protein L2
* FNHOILDI_01214      K02892   55.07   56.9   3.1e-16 large subunit ribosomal protein L23
* FNHOILDI_01219      K07171   19.37   61.6   9.2e-18 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_01225      K01151  122.83  289.6   3.8e-87 deoxyribonuclease IV [EC:3.1.21.2]
* FNHOILDI_01226      K01262  246.37  246.5   7.7e-74 Xaa-Pro aminopeptidase [EC:3.4.11.9]
* FNHOILDI_01245      K01972  100.33  633.4  7.8e-191 DNA ligase (NAD+) [EC:6.5.1.2]
* FNHOILDI_01246      K02871   70.00  160.0   8.5e-48 large subunit ribosomal protein L13
* FNHOILDI_01248      K02996  107.43  166.3   1.1e-49 small subunit ribosomal protein S9
* FNHOILDI_01256      K01297   68.23  259.7   5.1e-78 muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]
* FNHOILDI_01259      K21498   47.93  103.2   1.5e-30 antitoxin HigA-1
* FNHOILDI_01261      K02906  123.00  217.4   4.5e-65 large subunit ribosomal protein L3
* FNHOILDI_01264      K06878  111.70  133.2   7.2e-40 tRNA-binding protein
* FNHOILDI_01269      K01154   25.93   27.6   1.7e-07 type I restriction enzyme, S subunit [EC:3.1.21.3]
* FNHOILDI_01271      K02967  138.30  278.1   1.1e-83 small subunit ribosomal protein S2
* FNHOILDI_01274      K03218  217.53  232.1   9.9e-70 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
* FNHOILDI_01288      K02909   22.33   57.7   1.1e-16 large subunit ribosomal protein L31
* FNHOILDI_01297      K15255   91.03  328.5   8.1e-99 ATP-dependent DNA helicase PIF1 [EC:3.6.4.12]
* FNHOILDI_01306      K01868  140.00  435.0    8e-131 threonyl-tRNA synthetase [EC:6.1.1.3]
* FNHOILDI_01313      K02864   56.00   78.2   9.1e-23 large subunit ribosomal protein L10
* FNHOILDI_01314      K02935   28.83   58.3   9.6e-17 large subunit ribosomal protein L7/L12
* FNHOILDI_01315      K03043  365.63  876.2  4.2e-264 DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
* FNHOILDI_01320      K07171   19.37   82.4     4e-24 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_01323      K07171   19.37   87.2   1.4e-25 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_01327      K07171   19.37   83.6   1.8e-24 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_01341      K07171   19.37   58.9   6.3e-17 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_01344      K07171   19.37  101.5     6e-30 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_01349      K07171   19.37   60.2   2.5e-17 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_01351      K07566   83.40  112.3   3.2e-33 L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
* FNHOILDI_01353      K07171   19.37   63.5   2.5e-18 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_01358      K21498   47.93   92.2   3.5e-27 antitoxin HigA-1
* FNHOILDI_01359      K07334   76.87  102.1   3.3e-30 toxin HigB-1
* FNHOILDI_01363      K03977  204.07  300.3   2.9e-90 GTPase
* FNHOILDI_01366      K03470  129.20  239.5   6.9e-72 ribonuclease HII [EC:3.1.26.4]
* FNHOILDI_01368      K02888   25.87   74.3   1.3e-21 large subunit ribosomal protein L21
* FNHOILDI_01375      K01156  140.97  305.3   1.3e-91 type III restriction enzyme [EC:3.1.21.5]
* FNHOILDI_01376      K07316  209.03  268.2   1.9e-80 adenine-specific DNA-methyltransferase [EC:2.1.1.72]
* FNHOILDI_01400      K01890  121.63  249.9   6.1e-75 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
* FNHOILDI_01420      K06925   47.07  120.4   1.1e-35 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
* FNHOILDI_01421      K06223   68.57  267.6   2.5e-80 DNA adenine methylase [EC:2.1.1.72]
* FNHOILDI_01421      K01155   25.73   93.7   2.5e-27 type II restriction enzyme [EC:3.1.21.4]
* FNHOILDI_01425      K07171   19.37   54.8   1.1e-15 mRNA interferase MazF [EC:3.1.-.-]
