Gene_name,KO_annot
KLL05088.1,K07171 
KLL05092.1,K02916 
KLL05094.1,K01881 
KLL05095.1,K01255 
KLL05097.1,K03070 
KLL05101.1,K02835 
KLL05105.1,K03424 
KLL05109.1,K02961 
KLL05110.1,K02434 
KLL05112.1,K02986 
KLL05115.1,K02600 
KLL05120.1,K02992 
KLL05122.1,K02952 
KLL05123.1,K02919 
KLL05125.1,K01883 
KLL05126.1,K01887 
KLL05129.1,K02899 
KLL05137.1,K00940 
KLL05139.1,K02316 
KLL05144.1,K03151 
KLL05155.1,K00384 
KLL05230.1,K07496 
KLL05231.1,K15255 
KLL05233.1,K07496 
KLL05281.1,K07341 
KLL05290.1,K02954 
KLL05292.1,K02887 
KLL05293.1,K02913 
KLL05295.1,K03438 
KLL05298.1,K02878 
KLL05299.1,K02982 
KLL05301.1,K02890 
KLL05305.1,K02886 
KLL05306.1,K07496 
KLL05314.1,K07494 
KLL05315.1,K02519 
KLL05316.1,K02884 
KLL05319.1,K04075 
KLL05321.1,K07496 
KLL05324.1,K07494 
KLL05326.1,K00566 
KLL05328.1,K03536 
KLL05329.1,K01889 
KLL05331.1,K04567 
KLL05334.1,K02888 
KLL05337.1,K03687 
KLL05338.1,K03702 
KLL05339.1,K02994 
KLL05340.1,K01880 
KLL05342.1,K00945 
KLL05343.1,K03553 
KLL05347.1,K02838 
KLL05351.1,K01875 
KLL05355.1,K02956 
KLL05362.1,K03177 
KLL05364.1,K01992 
KLL05367.1,K07171 
KLL05369.1,K03977 
KLL05373.1,K21498 
KLL05410.1,K01153 
KLL05415.1,K18626 
KLL05450.1,K03427 
KLL05454.1,K07171 
