# gene name                          KO     thrshld  score   E-value KO definition
#----------------------------------- ------ ------- ------ --------- ---------------------
  lcl|LN828718.1_prot_CFW92770.1_27  K04427  336.40  178.4   1.2e-54 mitogen-activated protein kinase kinase kinase 7 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW92770.1_27  K08269  396.23  121.9   1.5e-37 serine/threonine-protein kinase ULK2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08794  438.60  120.0   6.3e-37 calcium/calmodulin-dependent protein kinase I [EC:2.7.11.17]
  lcl|LN828718.1_prot_CFW92770.1_27  K08846  358.33  119.0   1.3e-36 receptor-interacting serine/threonine-protein kinase 2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05110 1466.30  117.1   3.5e-36 Eph receptor B1 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04365  849.23  116.2   6.7e-36 B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08892  735.67  113.7   3.2e-35 fyn-related kinase [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K08282  270.47  113.6   5.4e-35 non-specific serine/threonine protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05093 1149.67  113.1     4e-35 fibroblast growth factor receptor 2 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04730  409.47  112.8   9.8e-35 interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08889  959.07  112.7   6.9e-35 tyrosine-protein kinase Fer [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K00924  418.03  111.8   1.9e-34 kinase [EC:2.7.1.-]
  lcl|LN828718.1_prot_CFW92770.1_27  K05703  942.93  111.4     2e-34 tyrosine-protein kinase Fyn [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K08843 1089.43  111.1   1.3e-34 leucine-rich repeat kinase 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K20606  520.63  111.0     3e-34 mitogen-activated protein kinase kinase kinase ANP1 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW92770.1_27  K02831  428.17  110.6   3.5e-34 ser/thr/tyr protein kinase RAD53 [EC:2.7.11.-]
  lcl|LN828718.1_prot_CFW92770.1_27  K13412  438.80  107.4   3.3e-33 calcium-dependent protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04424  608.90  107.2   3.4e-33 sterile alpha motif and leucine zipper containing kinase AZK [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW92770.1_27  K04733  235.17  106.4   4.9e-33 interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04345  529.83  106.1     9e-33 protein kinase A [EC:2.7.11.11]
  lcl|LN828718.1_prot_CFW92770.1_27  K06633  334.63  105.9   1.1e-32 membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04417 1146.57  105.6   1.2e-32 mitogen-activated protein kinase kinase kinase 9 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW92770.1_27  K20607  387.20  104.8   2.6e-32 mitogen-activated protein kinase kinase 3 [EC:2.7.12.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K13303  577.47  103.6     5e-32 serum/glucocorticoid-regulated kinase 2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04527 1758.60  101.5   1.2e-31 insulin receptor [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K07198  488.90  101.3   2.7e-31 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.11]
  lcl|LN828718.1_prot_CFW92770.1_27  K05099 1306.13  100.3   2.6e-31 proto-oncogene tyrosine-protein kinase Met [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08863  358.17  100.0     6e-31 polo-like kinase 4 [EC:2.7.11.21]
  lcl|LN828718.1_prot_CFW92770.1_27  K05127  541.20   98.5     1e-30 PTK7 protein tyrosine kinase 7 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K21357 1260.50   98.4   1.6e-30 serine/threonine-protein kinase ULK1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K21358  355.50   97.9   2.8e-30 serine/threonine-protein kinase ULK3 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K11218 1596.43   97.9   1.3e-30 Janus kinase 3 [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K05095 1418.07   97.7   2.1e-30 fibroblast growth factor receptor 4 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04373  789.37   97.2   4.1e-30 ribosomal protein S6 kinase alpha-1/2/3/6 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K17512  482.30   96.3   5.2e-30 tyrosine-protein kinase shark [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K08252  565.20   95.4   1.3e-29 receptor protein-tyrosine kinase [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08818  544.90   94.8   2.6e-29 cell division cycle 2-like [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW92770.1_27  K08857  439.90   94.6   3.1e-29 NIMA (never in mitosis gene a)-related kinase 1/4/5 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08861  886.40   93.6   5.4e-29 polo-like kinase 2 [EC:2.7.11.21]
  lcl|LN828718.1_prot_CFW92770.1_27  K05743  905.70   93.6   4.4e-29 LIM domain kinase 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04361  734.37   93.4   3.2e-29 epidermal growth factor receptor [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K20604  423.47   93.1   7.7e-29 mitogen-activated protein kinase kinase 9 [EC:2.7.12.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K06631  711.30   92.8     9e-29 polo-like kinase 1 [EC:2.7.11.21]
  lcl|LN828718.1_prot_CFW92770.1_27  K08838  483.30   92.6     1e-28 serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05120 1344.17   92.2     1e-28 tyrosine kinase receptor 1 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K02216  383.47   90.3   5.4e-28 serine/threonine-protein kinase CHEK1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K06276  365.67   90.2   5.5e-28 3-phosphoinositide dependent protein kinase-1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K20872  342.33   90.0   6.9e-28 NIMA (never in mitosis gene a)-related kinase 2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05728  671.13   89.4   9.1e-28 c-src tyrosine kinase [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K06683  499.80   89.3   1.1e-27 cell division control protein CDC15 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K20877  707.23   88.8   1.2e-27 NIMA (never in mitosis gene a)-related kinase 8 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08852  198.40   88.8   1.2e-27 serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1.26.-]
  lcl|LN828718.1_prot_CFW92770.1_27  K20716  370.90   88.6   1.5e-27 mitogen-activated protein kinase kinase kinase 17/18
  lcl|LN828718.1_prot_CFW92770.1_27  K07359  636.80   88.0   2.5e-27 calcium/calmodulin-dependent protein kinase kinase 2 [EC:2.7.11.17]
  lcl|LN828718.1_prot_CFW92770.1_27  K22008  531.13   87.8   3.1e-27 serine/threonine-protein kinase Psk1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08895  603.20   87.6   3.2e-27 tyrosine-protein kinase Srms [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K08888  658.17   87.6   3.5e-27 megakaryocyte-associated tyrosine kinase [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K04420  873.87   86.7     8e-27 mitogen-activated protein kinase kinase kinase 2 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW92770.1_27  K08849  208.33   86.6     5e-27 mixed lineage kinase domain-like [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K20873  525.17   85.6   1.6e-26 NIMA (never in mitosis gene a)-related kinase 3 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K12771  486.63   85.4   1.7e-26 sporulation-specific protein 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05856  865.33   85.4   1.6e-26 lymphocyte cell-specific protein tyrosine kinase [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K07760  458.50   85.2   1.9e-26 cyclin-dependent kinase [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW92770.1_27  K17539  426.10   84.8   1.7e-26 serine/threonine-protein kinase PDIK1L [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K19477  903.73   84.5   2.6e-26 cGMP-dependent protein kinase 2 [EC:2.7.11.12]
  lcl|LN828718.1_prot_CFW92770.1_27  K04514 1722.97   84.4   2.3e-26 Rho-associated protein kinase 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04421  638.33   84.1   5.1e-26 mitogen-activated protein kinase kinase kinase 3 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW92770.1_27  K13302  708.30   84.0   4.7e-26 serum/glucocorticoid-regulated kinase 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08891 1046.60   84.0   4.1e-26 tyrosine-protein kinase Fgr [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K05104 1681.70   84.0   2.9e-26 Eph receptor A3 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K16289  780.87   83.9   3.6e-26 ankyrin repeat and protein kinase domain-containing protein 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04688  546.43   83.7   4.7e-26 ribosomal protein S6 kinase beta [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05126  603.13   83.2   6.9e-26 proto-oncogene tyrosine-protein kinase Ret [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05105 1585.60   83.1   5.5e-26 Eph receptor A4 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08799  508.60   82.9     1e-25 maternal embryonic leucine zipper kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04445 1229.17   82.7   7.1e-26 ribosomal protein S6 kinase alpha-5 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05725 1229.97   82.4   8.6e-26 focal adhesion kinase 1 [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K19584  519.67   81.6   2.2e-25 protein kinase X [EC:2.7.11.11]
  lcl|LN828718.1_prot_CFW92770.1_27  K08850  514.47   81.4   2.3e-25 aurora kinase, other [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K07376  693.07   81.1   2.3e-25 cGMP-dependent protein kinase 1 [EC:2.7.11.12]
  lcl|LN828718.1_prot_CFW92770.1_27  K13420 1161.43   80.6   2.1e-25 LRR receptor-like serine/threonine-protein kinase FLS2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08856  280.93   80.5   5.1e-25 serine/threonine kinase 16 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K17545  312.77   79.8   5.2e-25 serine/threonine-protein kinase ULK4 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05122 1070.90   79.6   6.5e-25 receptor tyrosine kinase-like orphan receptor 1 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K11217 1584.00   79.3   6.2e-25 Janus kinase 1 [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K04371  588.40   79.2   1.3e-24 mitogen-activated protein kinase 1/3 [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW92770.1_27  K05705  944.23   79.1   1.2e-24 tyrosine-protein kinase Yes [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K00871  340.97   78.4     2e-24 phosphorylase kinase gamma subunit [EC:2.7.11.19]
  lcl|LN828718.1_prot_CFW92770.1_27  K22893  563.40   78.1   3.9e-24 serine/threonine kinase PknH [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K06641  423.40   76.3   8.9e-24 serine/threonine-protein kinase CHEK2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08858  238.67   75.9   1.2e-23 serine/threonine-protein kinase SBK [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K20605  774.87   75.4   1.4e-23 mitogen-activated protein kinase kinase kinase 2 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW92770.1_27  K05087 1854.47   75.3   9.9e-24 insulin-like growth factor 1 receptor [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K02206  569.23   75.3   2.1e-23 cyclin-dependent kinase 2 [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW92770.1_27  K20876  608.07   75.1   2.8e-23 NIMA (never in mitosis gene a)-related kinase 7 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K13415  737.40   75.1   1.2e-23 protein brassinosteroid insensitive 1 [EC:2.7.10.1 2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K20875  527.47   74.8   3.1e-23 NIMA (never in mitosis gene a)-related kinase 6 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K07364  951.33   74.7   1.6e-23 tyrosine-protein kinase Tec [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K16510 1344.47   74.5   2.5e-23 ribosomal protein S6 kinase alpha-4 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05102 1470.87   73.7   2.6e-23 Eph receptor A1 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05129  688.47   73.6   4.8e-23 muscle, skeletal, receptor tyrosine kinase [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08860  409.80   73.4   6.2e-23 eukaryotic translation initiation factor 2-alpha kinase 3 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K11479  546.30   73.3   7.2e-23 aurora kinase B [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K16288  282.10   72.5   9.8e-23 dual serine/threonine and tyrosine protein kinase [EC:2.7.12.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08813  408.83   72.3   1.6e-22 serine/threonine kinase 33 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K17529  356.30   71.3   3.3e-22 uncharacterized serine/threonine-protein kinase SgK494 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K19833  654.53   70.7   4.6e-22 serine/threonine-protein kinase CLA4 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K13430  670.47   70.1   7.2e-22 serine/threonine-protein kinase PBS1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K13419 1070.83   70.0   5.2e-22 serine/threonine-protein kinase PknK [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K18529  942.10   69.9   7.6e-22 kinase suppressor of Ras 2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K16195  405.10   69.4   1.2e-21 eukaryotic translation initiation factor 2-alpha kinase 2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K19800  735.93   69.1   1.2e-21 serine/threonine protein kinase SCH9 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K06272  230.33   69.0   1.2e-21 integrin-linked kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K06068  987.80   68.9   1.4e-21 novel protein kinase C delta type [EC:2.7.11.13]
  lcl|LN828718.1_prot_CFW92770.1_27  K22600 1170.30   68.7   1.1e-21 guanylate cyclase 2G [EC:4.6.1.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K11219 1615.63   68.7   9.1e-22 non-receptor tyrosine-protein kinase TYK2 [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K03114  295.93   68.6   2.6e-21 mitosis inhibitor protein kinase SWE1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08885  801.23   68.2   2.3e-21 non-receptor tyrosine-protein kinase TNK1 [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K20603  590.07   68.1   2.7e-21 mitogen-activated protein kinase kinase 2 [EC:2.7.12.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K08835  406.50   68.1   3.1e-21 serine/threonine-protein kinase OSR1/STK39 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K17510  258.73   67.9   2.7e-21 tyrosine-protein kinase STYK1 [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K08894  608.43   67.6   3.5e-21 protein tyrosine kinase 6 [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K11916  405.93   67.0   6.2e-21 serine/threonine-protein kinase Stk1 [EC:2.7.11.-]
  lcl|LN828718.1_prot_CFW92770.1_27  K08829  408.97   67.0   6.4e-21 male germ cell-associated kinase [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW92770.1_27  K04418 1440.67   66.5   5.9e-21 mitogen-activated protein kinase kinase kinase 10 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW92770.1_27  K05096 1311.13   66.4   6.1e-21 FMS-like tyrosine kinase 1 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05123 1354.87   66.1   6.5e-21 receptor tyrosine kinase-like orphan receptor 2 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08862 1020.63   65.8   1.1e-20 polo-like kinase 3 [EC:2.7.11.21]
  lcl|LN828718.1_prot_CFW92770.1_27  K13976 1315.80   65.5     1e-20 p21-activated kinase
  lcl|LN828718.1_prot_CFW92770.1_27  K13414  458.47   65.5   1.2e-20 mitogen-activated protein kinase kinase kinase 1 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW92770.1_27  K20879  309.57   65.2   1.3e-20 NIMA (never in mitosis gene a)-related kinase 10 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K07209 1008.70   65.1   1.7e-20 inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10]
  lcl|LN828718.1_prot_CFW92770.1_27  K04412  883.80   65.1   2.6e-20 serine/threonine kinase 3
  lcl|LN828718.1_prot_CFW92770.1_27  K11228  524.97   64.8   2.7e-20 mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW92770.1_27  K20717  770.77   64.5   3.8e-20 mitogen-activated protein kinase kinase kinase YODA [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW92770.1_27  K11912  383.10   64.4   4.3e-20 serine/threonine-protein kinase PpkA [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04360 1154.67   64.4   2.4e-20 neurotrophic tyrosine kinase receptor type 2 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K18051 1041.10   64.3   2.9e-20 novel protein kinase C eta type [EC:2.7.11.13]
  lcl|LN828718.1_prot_CFW92770.1_27  K13435       -   64.1   4.3e-20 serine/threonine-protein kinase Pto
  lcl|LN828718.1_prot_CFW92770.1_27  K13304  740.43   63.8   5.9e-20 serum/glucocorticoid-regulated kinase 3 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K12323 1262.30   63.8   3.7e-20 atrial natriuretic peptide receptor A [EC:4.6.1.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K04671  503.40   63.8   4.6e-20 bone morphogenetic protein receptor type-2 [EC:2.7.11.30]
  lcl|LN828718.1_prot_CFW92770.1_27  K08842  707.07   63.7   7.9e-20 testis-specific kinase 2 [EC:2.7.12.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05089 1311.13   63.7   3.4e-20 platelet-derived growth factor receptor beta [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04515  391.07   63.5   5.9e-20 calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]
  lcl|LN828718.1_prot_CFW92770.1_27  K08804  402.50   63.2   1.1e-19 serine/threonine kinase 17 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K02087  504.63   63.2   7.3e-20 cyclin-dependent kinase 1 [EC:2.7.11.22 2.7.11.23]
  lcl|LN828718.1_prot_CFW92770.1_27  K20878  763.80   63.1   7.4e-20 NIMA (never in mitosis gene a)-related kinase 9 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K02088  579.40   63.0   1.1e-19 cyclin-dependent kinase 3 [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW92770.1_27  K04409  702.17   62.9   1.1e-19 p21-activated kinase 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K11481  534.97   62.7   1.2e-19 aurora kinase A [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K19663 1234.87   62.5     1e-19 classical protein kinase C gamma type [EC:2.7.11.13]
  lcl|LN828718.1_prot_CFW92770.1_27  K14512  698.67   62.5   1.5e-19 mitogen-activated protein kinase 6 [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW92770.1_27  K12378  539.90   62.0   1.8e-19 tyrosine-protein kinase receptor torso [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K12776  347.30   61.8   2.1e-19 meiosis-specific serine/threonine-protein kinase MEK1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K02202  428.87   61.6   2.1e-19 cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]
  lcl|LN828718.1_prot_CFW92770.1_27  K16194  388.63   60.8   4.3e-19 eukaryotic translation initiation factor 2-alpha kinase 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04441  496.10   60.8   5.3e-19 p38 MAP kinase [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW92770.1_27  K16308  680.83   60.3   2.2e-19 citron Rho-interacting kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K07298  316.40   60.1     8e-19 serine/threonine-protein kinase 11 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K13413  449.93   59.4   1.6e-18 mitogen-activated protein kinase kinase 4/5 [EC:2.7.12.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K04702  337.60   59.4   1.2e-18 proto-oncogene serine/threonine-protein kinase Pim-1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05128  353.40   59.2   1.1e-18 RYK receptor-like tyrosine kinase [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08808  437.40   59.1   1.7e-18 protein serine kinase H [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K23692 1383.20   59.0   1.2e-18 serine/threonine-protein kinase N3 [EC:2.7.11.13]
  lcl|LN828718.1_prot_CFW92770.1_27  K08806  446.57   59.0   1.8e-18 proto-oncogene serine/threonine-protein kinase Pim-2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K11480  602.23   58.8   2.1e-18 aurora kinase C [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08807  535.83   58.8   2.1e-18 proto-oncogene serine/threonine-protein kinase Pim-3 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04456  517.73   58.7   2.1e-18 RAC serine/threonine-protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04366 1069.90   58.3   1.9e-18 RAF proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K18952 1014.10   57.8   3.3e-18 atypical protein kinase C zeta type [EC:2.7.11.13]
  lcl|LN828718.1_prot_CFW92770.1_27  K08793  411.43   57.5   4.9e-18 serine/threonine kinase 32 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K11229  511.93   57.4   4.3e-18 mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]
